date,keyword,word_type
2025-02-01,투자,2
2025-02-01,배당,2
2025-02-01,이익,2
2025-02-01,조정,0
2025-02-01,걸리다,0
2025-02-01,복리,2
2025-02-01,빠르다,2
2025-02-01,성,1
2025-02-01,소득,2
2025-02-01,운,2
2025-02-01,이익,2
2025-02-01,적극,2
2025-02-01,정,2
2025-02-01,크다,2
2025-02-01,탈,0
2025-02-01,해,0
2025-02-01,화,0
2025-02-01,성장,2
2025-02-01,상승,2
2025-02-01,확대,2
2025-02-01,안정,2
2025-02-01,기록,2
2025-02-01,돌파,2
2025-02-01,전망,2
2025-02-01,투자,2
2025-02-01,실적,2
2025-02-01,이익,2
2025-02-01,하락,0
2025-02-01,조정,0
2025-02-01,강화하다,2
2025-02-01,기대,2
2025-02-01,기대하다,2
2025-02-01,높다,2
2025-02-01,능력,2
2025-02-01,독,0
2025-02-01,발전,2
2025-02-01,성,1
2025-02-01,수혜,2
2025-02-01,안정,2
2025-02-01,이익,2
2025-02-01,정,2
2025-02-01,지다,0
2025-02-01,최고,2
2025-02-01,피,1
2025-02-01,해,0
2025-02-01,향상,2
2025-02-01,화,0
2025-02-01,성장,2
2025-02-01,기록,2
2025-02-01,전망,2
2025-02-01,투자,2
2025-02-01,순이익,2
2025-02-01,실적,2
2025-02-01,이익,2
2025-02-01,수익,2
2025-02-01,모멘텀,2
2025-02-01,하락,0
2025-02-01,하향,0
2025-02-01,부진,0
2025-02-01,손실,0
2025-02-01,조정,0
2025-02-01,부실,0
2025-02-01,구조조정,0
2025-02-01,가치,2
2025-02-01,개선,2
2025-02-01,다양하다,2
2025-02-01,대상,2
2025-02-01,마이너스,0
2025-02-01,부족,0
2025-02-01,부진,0
2025-02-01,성,1
2025-02-01,수익,2
2025-02-01,실하다,2
2025-02-01,위축,0
2025-02-01,이익,2
2025-02-01,정,2
2025-02-01,지다,0
2025-02-01,크다,2
2025-02-01,피,1
2025-02-01,필수,2
2025-02-01,함께,2
2025-02-01,해,0
2025-02-01,화,0
2025-02-01,급등,2
2025-02-01,회복,2
2025-02-01,기록,2
2025-02-01,투자,2
2025-02-01,반등,2
2025-02-01,하락,0
2025-02-01,급락,0
2025-02-01,불안,0
2025-02-01,약세,0
2025-02-01,부진,0
2025-02-01,리스크,0
2025-02-01,분쟁,0
2025-02-01,걸리다,0
2025-02-01,꺼리다,0
2025-02-01,못,1
2025-02-01,못 하다,0
2025-02-01,무섭다,0
2025-02-01,벌,0
2025-02-01,부족,0
2025-02-01,부진,0
2025-02-01,불안,0
2025-02-01,불안감,0
2025-02-01,아니다,0
2025-02-01,안전,2
2025-02-01,어렵다,0
2025-02-01,없다,0
2025-02-01,운,2
2025-02-01,위축,0
2025-02-01,정,2
2025-02-01,지다,0
2025-02-01,최고,2
2025-02-01,크다,2
2025-02-01,피,1
2025-02-01,피해,0
